video_title,video_url,video_views,video_selection1,video_image
Qiang Wang vs. Monica Puig | 2018 Wuhan Open Quarterfinal | WTA Highlights 武汉网球公开赛,https://www.youtube.com/watch?v=YOMiDPN-x6o,38K views,5:46,
Karolina Pliskova vs. Wang Qiang | 2018 China Open Third Round | WTA Highlights 中国网球公开赛,https://www.youtube.com/watch?v=IA6zrf9Owto,39K views,3:58,
Karolina Pliskova vs. Qiang Wang | 2018 Wuhan Open Second Round | WTA Highlights 武汉网球公开赛,https://www.youtube.com/watch?v=hqaUj3uaI2I,51K views,7:23,
Qiang Wang vs. Daria Gavrilova | 2018 Wuhan Open Round of 16 | WTA Highlights 武汉网球公开赛,https://www.youtube.com/watch?v=tYDoKl1l8_o,37K views,,
Wang Qiang vs. Zheng Saisai | 2018 Jiangxi Open Final | WTA Highlights,https://www.youtube.com/watch?v=1fszKSe2-yk,12K views,4:57,
Hsieh Su-Wei vs. Wang Qiang | 2018 Japan Women's Open Semifinal | WTA Highlights,https://www.youtube.com/watch?v=JmNwDZPlc6s,35K views,5:09,
Wang Qiang vs. Andrea Petkovic | 2018 Guangzhou Open Semifinals | WTA Highlights,https://www.youtube.com/watch?v=COpRp-scJME,17K views,6:13,
Magda Linette vs. Wang Qiang | 2018 Jiangxi Open Semifinals | WTA Highlights,https://www.youtube.com/watch?v=vYNmZYOsTEA,13K views,5:25,
Anna Kontaveit vs. Qiang Wang | 2018 Wuhan Open Semifinal | WTA Highlights 武汉网球公开赛,https://www.youtube.com/watch?v=HJUc5lpJusE,34K views,6:57,
Wang Qiang vs. Maria Sakkari | 2018 Wuhan Open Round One | WTA Highlights 武汉网球公开赛,https://www.youtube.com/watch?v=Xx7XxvNfhKw,22K views,5:21,
2017 Wuhan Open First Round | Wang Qiang vs Sloane Stephens | WTA Highlights,https://www.youtube.com/watch?v=duageXZMoUw,22K views,4:05,
2018 Indian Wells Fourth Round | Simona Halep vs. Wang Qiang | WTA Highlights,https://www.youtube.com/watch?v=GVwp93dEw8U,42K views,6:05,
Wang Qiang | 2018 WTA Elite Trophy Day 1 | Shot of the Day,https://www.youtube.com/watch?v=WICEjaLTtt8,3.5K views,0:48,
Wang Qiang | 2018 Hong Kong Open | Shot of the Day,https://www.youtube.com/watch?v=DfdjRbl9I4E,5.1K views,0:51,
Wang Qiang | 2018 Hong Kong Open | Shot of the Day,https://www.youtube.com/watch?v=KMWYCYnwSGg,13K views,0:39,
"Breakthrough Player of the Month: July 2018, Wang Qiang",https://www.youtube.com/watch?v=I4CwiEvNWQY,2.2K views,0:28,
Wang Qiang | 2018 Elite Trophy Semifinals | Shot of the Day,https://www.youtube.com/watch?v=zRFBCAs-QoA,5.1K views,0:24,
2018 Dubai Second Round | Elina Svitolina vs. Wang Qiang | WTA Highlights,https://www.youtube.com/watch?v=3QXFg4CnjbE,13K views,4:20,
2017 China Open First Round | Caroline Wozniacki vs. Wang Qiang | WTA Highlights,https://www.youtube.com/watch?v=pKLF7Graxqs,10K views,2:59,
2017 Hong Kong Open Semifinals | Anastasia Pavlyuchenkova vs. Wang Qiang | WTA Highlights,https://www.youtube.com/watch?v=Q7YWRSEu6V0,6.7K views,2:10,
